,Assessor,weighted av. score,VJ deviation,NU deviation,DF deviation,GT deviation,JR deviation,OA deviation,AV deviation,CJ deviation,DT deviation,JO deviation,JH deviation,SU deviation,GDD deviation,PP deviation,OU deviation,MiM deviation,AR deviation,VP deviation,LdB deviation,EM deviation
10,z_assessor_1013,0.6206896551724138,-0.6206896551724138,-0.6206896551724138,-0.6206896551724138,2.3793103448275863,-0.6206896551724138,0.3793103448275862,0.3793103448275862,-0.6206896551724138,,-0.6206896551724138,-0.6206896551724138,0.3793103448275862,-0.6206896551724138,-0.6206896551724138,0.3793103448275862,-0.6206896551724138,-0.6206896551724138,,,
11,z_assessor_1014,0.5483870967741935,-0.5483870967741935,-0.5483870967741935,-0.5483870967741935,2.4516129032258065,-0.5483870967741935,0.4516129032258065,0.4516129032258065,-0.5483870967741935,,-0.5483870967741935,-0.5483870967741935,0.4516129032258065,-0.5483870967741935,-0.5483870967741935,0.4516129032258065,-0.5483870967741935,-0.5483870967741935,,,
12,z_assessor_1015,0.7096774193548387,-0.7096774193548387,-0.7096774193548387,-0.7096774193548387,2.290322580645161,-0.7096774193548387,0.29032258064516125,0.29032258064516125,0.29032258064516125,,-0.7096774193548387,-0.7096774193548387,0.29032258064516125,-0.7096774193548387,0.29032258064516125,0.29032258064516125,0.29032258064516125,-0.7096774193548387,,-0.7096774193548387,0.29032258064516125
13,z_assessor_1016,1.8322649572649572,-0.16559829059829054,-0.8322649572649571,-0.8322649572649571,1.1677350427350428,0.5010683760683762,0.5010683760683762,0.5010683760683762,-0.16559829059829054,0.5010683760683762,0.5010683760683762,-1.1655982905982905,1.1677350427350428,-1.1655982905982905,-1.0384615384615383,,-0.8322649572649571,,,-0.8322649572649571,
14,z_assessor_1017,0.7241379310344828,-0.7241379310344828,-0.7241379310344828,-0.7241379310344828,2.2758620689655173,-0.7241379310344828,0.27586206896551724,0.27586206896551724,-0.7241379310344828,,0.27586206896551724,-0.7241379310344828,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,-0.7241379310344828,,-0.7241379310344828,
15,z_assessor_1018,0.7678469904832529,0.06548634285008036,-0.6011803238165864,-0.7678469904832529,2.232153009516747,-0.7678469904832529,0.232153009516747,-0.267846990483253,-0.4345136571499197,-0.471326164874552,0.06548634285008036,-0.6011803238165864,-0.10118032381658632,-0.6011803238165864,-0.01010381905821281,0.232153009516747,-0.10118032381658632,-0.7678469904832529,,-0.12141638857990358,-0.5806451612903225
16,z_assessor_1019,0.3055555555555555,-0.3055555555555555,-0.3055555555555555,-0.3055555555555555,2.6944444444444446,-0.3055555555555555,0.6944444444444444,-0.3055555555555555,-0.3055555555555555,-0.3055555555555555,-0.3055555555555555,-0.3055555555555555,0.6944444444444444,-0.3055555555555555,,-0.3055555555555555,-0.3055555555555555,-0.3055555555555555,,-0.3055555555555555,-0.3055555555555555
17,z_assessor_1020,0.962962962962963,0.03703703703703698,0.03703703703703698,-0.962962962962963,2.037037037037037,0.03703703703703698,0.03703703703703698,0.03703703703703698,0.03703703703703698,0.03703703703703698,0.03703703703703698,-0.962962962962963,-0.962962962962963,-0.962962962962963,,,-0.962962962962963,-0.962962962962963,,,0.03703703703703698
18,z_assessor_1021,0.5721583652618135,-0.5721583652618135,-0.5721583652618135,-0.5721583652618135,2.4278416347381864,-0.5721583652618135,0.4278416347381865,0.4278416347381865,-0.5721583652618135,-0.07215836526181352,-0.07215836526181352,-0.5721583652618135,0.4278416347381865,-0.07215836526181352,0.4482758620689655,0.4278416347381865,-0.07215836526181352,-0.5721583652618135,,-0.5721583652618135,
19,z_assessor_1022,0.44696969696969696,-0.44696969696969696,-0.44696969696969696,-0.44696969696969696,0.553030303030303,-0.44696969696969696,0.553030303030303,0.553030303030303,0.05303030303030304,-0.44696969696969696,0.05303030303030304,-0.44696969696969696,0.05303030303030304,0.05303030303030304,,0.05303030303030304,-0.44696969696969696,-0.44696969696969696,,-0.44696969696969696,
